estimator,mode,n,mean,median,p90,p95,within10,within20
Bekker-UKF,OL,100,40.35240473233079,33.91932978078488,63.44327507993455,130.18942401329636,9.0,22.0
Bekker-UKF,CL,100,26.168864181332168,20.13257243532555,53.61066044209582,60.863000062577974,31.0,50.0
Bekker-UKF,both,200,33.260634456831475,30.001297326013535,60.8478957611543,74.33424130692549,20.0,36.0
NN-UKF,OL,100,19.000689435695005,14.46441763697744,39.12102748837095,56.9221711666744,38.0,64.0
NN-UKF,CL,100,14.520212414667288,9.892095153596724,31.517123954709017,39.824659756728344,52.0,73.0
NN-UKF,both,200,16.760450925181146,12.092403825975937,35.151133899198115,47.71356400113761,45.0,68.5
Learned MLP,OL,100,19.174104429792564,17.375131863230994,39.18694797972686,44.96467364473112,32.0,54.0
Learned MLP,CL,100,18.723393534806817,15.524357919937012,39.626140488782305,43.58824188895272,30.0,60.0
Learned MLP,both,200,18.94874898229969,16.485260446411274,39.53930293013557,43.990084059968744,31.0,56.99999999999999
